"","id","gender","age","place","region","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","conts"
"1",1,"Женский","19","Москва","Москва","замазка/штрих","ластик/стерка/резинка","штрих","треугольник","ластик","скакалки","штрих","чайник","флешка","соленый огурец","соленый огурец"
"2",2,"Женский","18","Ангарск","Иркутская область","замазка","ластик","замазка","угольник","ластик","скакалка","замазка","чайник","флешка","Пустая шоколадина","турецкий барабан"
"3",3,"Женский","18","Москва","Москва","замазка","ластик","корректор","линейка","ластик","скакалка","корректор","чайник","флэшка","Соленый огурец","соленый огурец"
"4",4,"Женский","18","Тирасполь","Молдавия","корректор","ластик","корректор","линейка","ластик","скакалка","корректор","чайник","флешка","Соленый огурец","соленый огурец"
"5",5,"Женский","19","Вологда","Вологодская область","корректор","ластик","корректор","линейка (или угольник)","ластик","скакалка","корректор","чайник","флешка","В попе шоколадина","шоколадина"
"6",6,"Мужской","18","Москва","Москва","замазка","ластик","замазка","треугольник","ластик","скакалки","замазка","чайник","флешка","Турецкий барабан","турецкий барабан"
"7",7,"Мужской","18","Москва","Москва","замазка","ластик","замазка","треугольник","ластик","скакалка","штрих","чайник","флешка","...","другое"
"8",8,"Мужской","18","Москва","Москва","замазка","ластик","замазка","линейка","ластик","скакалка","замазка","чайник","флэшка","Турецкий барабан","турецкий барабан"
"9",9,"Женский","18","Москва","Москва","корректор (в жизни говорю замазка)","ластик","опять корректор (в жизни замазка)","линейка/треугольник","ластик","скакалка","корректор","чайник","флешка","Соленый огурец","соленый огурец"
"10",10,"Женский","18","Москва","Москва","замазка","ластик","замазка/корректор","линейка","ластик","скакалка","замазка","чайник","флешка","солёный огурец","соленый огурец"
"11",11,"Женский","18","Губкин","Белгородская область","штрих","ластик","штрих","треугольник","ластик","скакалка","штрих","чайник","флешка","Соленый огурец по полу валяется, никто его не ест","соленый огурец"
"12",12,"Женский","18","Москва","Москва","замазка","ластик","замазка","треугольник","ластик","скакалка","корректор","чайник","флешка","Солёный огурец","соленый огурец"
"13",13,"Мужской","18","Москва","Москва","","","","","","","","","","",""
"14",14,"Женский","19","Москва","Москва","замазка","ластик","замазка","угольник","ластик","прыгалки","замазка","чайник","флэшка","Солёный огурец","соленый огурец"
"15",15,"Женский","18","Екатеринбург","Свердловская область","штрих","ластик","штрих/корректор","треугольник","ластик","скакалка","корректор","чайник","флэшка","пустая шоколадина","шоколадина"
"16",16,"Мужской","18","Москва","Москва","замазка","ластик","замазка","транспортир","ластик","скакалка","штрих","чайник","флешка","Турецкий барабан","турецкий барабан"
"17",17,"Мужской","18","Жуковский","Московская область","замазка","ластик","замазка","линейка","ластик","скакалка","замазка","чайник","флешка","солёный огурец, на полу валяется - никто его не съест","соленый огурец"
"18",18,"Женский","18","Балашиха","Московская область","замазка","ластик","замазка","уголок","стирка","скакалки","корректор","чайник","флешка","Соленый огурец","соленый огурец"
"19",19,"Женский","18","Москва","Москва","замазка","ластик","замазка","линейка","ластик","скакалка (в детстве это было прыгалкой, хаха)","Тоже замазка","чайник","флешка","Соленый огурец? Турецкий барабан?","турецкий барабан/соленый огурец"
"20",20,"Мужской","18","Москва","Москва","замазка","ластик","корректор","треугольная линейка","ластик","скакалки","Корректирующая лента","чайник","флешка","турецкий барабан","турецкий барабан"
"21",21,"Мужской","18","Жуков","Калужская область","замазка","ластик","замазка","угольник","ластик","скакалка","замазка","чайник","флешка","Соленый огурец","соленый огурец"
"22",22,"Женский","18","Якутск","Республика Саха (Якутия)","штрих","ластик","штрих","угольник","ластик","скакалка","корректор","электрочайник","флешка","пустая шоколадина","шоколадина"
"23",23,"Мужской","18","Самара","Самарская область","замазка","стёрка","корректор","треугольник","ластик","скакалка","корректор","электрический чайник","флешка","Солёный огурец","соленый огурец"
"24",24,"Женский","18","Москва","Москва","замазка","ластик","замазка","угол","ластик","скакалка","замазка","чайник","флешка","турецкий барабан. Кто на нем играет, тот и таракан","турецкий барабан"
"25",25,"Женский","18","Самара","Самарская область","корректор","ластик","ручка-корректор","угольник","ластик","скакалки","Корректирующая лента","чайник","флешка","Соленый огурец, по полу воляется, никто его не ест","соленый огурец"
"26",26,"Мужской","18","Владивосток","Приморский край","замазка","ластик","замазка","уголок","резинка","скакалка","корректор","чайник","флешка","Никто её не ест","другое"
"27",27,"Женский","18","Тверь","Тверская область","штрих","ластик","корректор","треугольник","стёрка","скакалка","Корректирующая лента","чайник","флешка","Солнечный огурец","соленый огурец"
