comments;description;duration;event;main_speaker;occupation;title
4553;Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.;1164;TED2006;Ken Robinson;Author/educator;Do schools kill creativity?
265;"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.";977;TED2006;Al Gore;Climate advocate;Averting the climate crisis
124;New York Times columnist David Pogue takes aim at technologyвЂ™s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.;1286;TED2006;David Pogue;Technology columnist;Simplicity sells
200;In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.;1116;TED2006;Majora Carter;Activist for environmental justice;Greening the ghetto
593;"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""";1190;TED2006;Hans Rosling;Global health expert;['Africa', 'Asia', 'Google', 'demo', 'economics', 'global development', 'global issues', 'health', 'math', 'statistics', 'visualizations']
672;"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.";1305;TED2006;Tony Robbins;Life coach;['business', 'culture', 'entertainment', 'goal-setting', 'motivation', 'potential', 'psychology']
919;"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""  ";992;TED2006;Julia Sweeney;Actor, comedian, playwright;Letting go of God
46;Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.;1198;TED2006;Joshua Prince-Ramus;Architect;Behind the design of Seattle's library
852;Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.;1485;TED2006;Dan Dennett;Philosopher, cognitive scientist;Let's teach religion -- all religion -- in schools
900;"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.";1262;TED2006;Rick Warren;Pastor, author;A life of purpose
79;Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.;1414;TED2006;Cameron Sinclair;Co-founder, Architecture for Humanity;My wish: A call for open-source architecture
55;Jehane Noujaim unveils her 2006 TED Prize wish: to bring the world together for one day a year through the power of film.;1538;TED2006;Jehane Noujaim;Filmmaker;My wish: A global day of film
71;Accepting the 2006 TED Prize, Dr. Larry Brilliant talks about how smallpox was eradicated from the planet, and calls for a new global system that can identify and contain pandemics before they spread.;1550;TED2006;Larry Brilliant;Epidemiologist, philanthropist;My wish: Help me stop pandemics
242;Jeff Han shows off a cheap, scalable multi-touch and pressure-sensitive computer screen interface that may spell the end of point-and-click.;527;TED2006;Jeff Han;Human-computer interface designer;The radical promise of the multi-touch interface
99;"Nicholas Negroponte, founder of the MIT Media Laboratory, describes how the One Laptop Per Child project will build and distribute the ""$100 laptop.""";1057;TED2006;Nicholas Negroponte;Tech visionary;One Laptop per Child
325;Violinist Sirena Huang gives a technically brilliant and emotionally nuanced performance. In a charming interlude, the 11-year-old praises the timeless design of her instrument.;1481;TED2006;Sirena Huang;Violinist;An 11-year-old's magical violin
305;Pianist and composer Jennifer Lin gives a magical performance, talks about the process of creativity and improvises a moving solo piece based on a random sequence of notes.;1445;TED2004;Jennifer Lin;Pianist, composer;Improvising on piano, aged 14
88;Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.;906;TED2006;Amy Smith;inventor, engineer;Simple designs to save a life
163;"Designer Ross Lovegrove expounds his philosophy of ""fat-free"" design and offers insight into several of his extraordinary products, including the Ty Nant water bottle and the Go chair.";1170;TED2005;Ross Lovegrove;Industrial designer;Organic design, inspired by nature
