country;cnt_code;year;va;ps;ge;rq;rl;cc;fh
Aruba;ABW;2016;1,27;1,28;0,90;1,35;1,29;1,29;
Andorra;ADO;2016;1,20;1,40;1,86;0,87;1,56;1,23;1
Afghanistan;AFG;2016;-1,09;-2,75;-1,22;-1,33;-1,62;-1,56;6
Angola;AGO;2016;-1,17;-0,39;-1,04;-1,00;-1,08;-1,41;6
Anguilla;AIA;2016;#N/A;1,31;1,33;0,87;-0,09;1,23;
Albania;ALB;2016;0,16;0,26;0,00;0,19;-0,35;-0,40;3
Netherlands Antilles (former);ANT;2016;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
United Arab Emirates;ARE;2016;-1,12;0,44;1,41;0,97;0,89;1,28;
Argentina;ARG;2016;0,54;0,22;0,18;-0,47;-0,35;-0,31;2
Armenia;ARM;2016;-0,62;-0,60;-0,15;0,25;-0,11;-0,57;4,5
American Samoa;ASM;2016;#N/A;1,19;0,53;0,14;1,33;1,23;
Antigua and Barbuda;ATG;2016;0,65;1,01;0,27;0,34;0,51;0,69;2
Australia;AUS;2016;1,30;0,96;1,58;1,90;1,75;1,77;1
Austria;AUT;2016;1,29;0,82;1,51;1,44;1,78;1,54;1
Azerbaijan;AZE;2016;-1,60;-0,87;-0,16;-0,28;-0,57;-0,87;6,5
Burundi;BDI;2016;-1,51;-2,08;-1,40;-0,83;-1,39;-1,18;6,5
Belgium;BEL;2016;1,35;0,48;1,33;1,34;1,40;1,60;1
Benin;BEN;2016;0,50;0,05;-0,57;-0,53;-0,65;-0,48;2
Burkina Faso;BFA;2016;0,04;-0,95;-0,55;-0,40;-0,45;-0,13;3,5
Bangladesh;BGD;2016;-0,56;-1,24;-0,69;-0,80;-0,59;-0,80;4
Bulgaria;BGR;2016;0,44;0,03;0,29;0,66;-0,04;-0,16;2
Bahrain;BHR;2016;-1,45;-0,86;0,32;0,61;0,46;-0,06;6,5
Bahamas, The;BHS;2016;0,94;0,90;0,72;0,26;0,23;1,13;1
Bosnia and Herzegovina;BIH;2016;-0,16;-0,38;-0,43;-0,17;-0,29;-0,47;3,5
Belarus;BLR;2016;-1,39;0,12;-0,51;-0,94;-0,78;-0,29;6,5
Belize;BLZ;2016;0,67;0,06;-0,68;-0,51;-0,86;-0,24;1,5
Bermuda;BMU;2016;#N/A;1,00;1,33;0,87;0,86;1,23;
Bolivia;BOL;2016;0,01;-0,21;-0,57;-0,92;-1,20;-0,71;3
Brazil;BRA;2016;0,47;-0,45;-0,18;-0,21;-0,08;-0,44;2
Barbados;BRB;2016;1,10;0,96;1,08;0,48;0,78;1,24;1
Brunei Darussalam;BRN;2016;-0,95;1,26;1,07;0,59;0,62;0,66;5,5
Bhutan;BTN;2016;-0,05;0,99;0,49;-0,67;0,47;1,14;3,5
South Sudan;SSD;2016;-1,67;-2,42;-2,26;-1,86;-1,69;-1,58;6,5
Botswana;BWA;2016;0,42;1,09;0,51;0,53;0,52;0,93;2,5
Central African Republic;CAF;2016;-1,13;-1,74;-1,77;-1,43;-1,84;-1,28;7
Canada;CAN;2016;1,38;1,24;1,80;1,74;1,84;1,98;1
Switzerland;CHE;2016;1,46;1,32;2,03;1,91;1,94;2,05;1
Chile;CHL;2016;1,00;0,51;1,02;1,37;1,13;1,11;1
China;CHN;2016;-1,62;-0,52;0,36;-0,26;-0,22;-0,25;6,5
Côte d'Ivoire;CIV;2016;-0,28;-0,90;-0,67;-0,36;-0,67;-0,54;4
Cameroon;CMR;2016;-1,03;-0,95;-0,76;-0,79;-1,02;-1,14;6
Congo, Rep.;COG;2016;-1,16;-0,57;-1,10;-1,17;-1,04;-1,21;5,5
Cook Islands;COK;2016;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;
Colombia;COL;2016;0,10;-0,96;0,02;0,40;-0,32;-0,34;3,5
Comoros;COM;2016;-0,18;-0,02;-1,54;-1,05;-1,13;-0,64;3,5
Cape Verde;CPV;2016;1,02;0,88;0,10;-0,30;0,35;0,88;1
Costa Rica;CRI;2016;1,14;0,75;0,36;0,41;0,46;0,70;1
Cuba;CUB;2016;-1,63;0,62;-0,13;-1,34;-0,41;0,05;6,5
Cayman Islands;CYM;2016;0,47;1,17;1,18;0,79;0,78;0,53;
Cyprus;CYP;2016;1,08;0,57;0,98;1,05;0,73;0,82;1
Czech Republic;CZE;2016;1,05;0,99;1,06;0,99;1,09;0,51;1
Germany;DEU;2016;1,33;0,76;1,74;1,82;1,61;1,83;1
Djibouti;DJI;2016;-1,32;-0,63;-0,97;-0,70;-0,97;-0,65;5,5
Dominica;DMA;2016;0,99;1,13;0,05;0,20;0,61;0,63;1
Denmark;DNK;2016;1,47;0,85;1,89;1,58;1,90;2,24;1
Dominican Republic;DOM;2016;0,19;0,29;-0,25;-0,07;-0,29;-0,78;3
Algeria;DZA;2016;-0,88;-1,14;-0,54;-1,17;-0,85;-0,69;5,5
Ecuador;ECU;2016;-0,25;-0,10;-0,43;-1,02;-0,69;-0,67;3
Egypt, Arab Rep.;EGY;2016;-1,23;-1,42;-0,66;-0,92;-0,41;-0,63;5,5
Eritrea;ERI;2016;-2,10;-0,88;-1,69;-2,19;-1,53;-1,13;7
Spain;ESP;2016;1,06;0,49;1,12;1,01;0,98;0,52;1
Estonia;EST;2016;1,20;0,69;1,12;1,70;1,24;1,21;1
Ethiopia;ETH;2016;-1,45;-1,57;-0,64;-1,10;-0,39;-0,44;6,5
Finland;FIN;2016;1,49;0,96;1,85;1,82;2,02;2,28;1
Fiji;FJI;2016;-0,03;0,83;-0,26;-0,38;-0,29;0,13;3
France;FRA;2016;1,08;-0,06;1,41;1,07;1,41;1,37;1
Micronesia, Fed. Sts.;FSM;2016;1,16;1,05;-0,35;-0,97;-0,06;0,65;1
