"","Group_Number","Type_of_Session","Condition","Numb_Delib","IndepDelib","Pid","PolInterest","Educ","Income","Race","Age","Female","Veto","OilExport","Renewable","HouseMajority","LawCons","SecState","GulfBan","ConsParty","MEOil","VideoWatch1","VideoWatch2","VideoWatch3","SupportCoastal","SupportFederal","SupportKeystone","KnowOther","TrustOther","ProtectEnviro"
"1",101,"No Deliberation","1",NA,NA,1,3,3,2,0,1,1,1,1,1,1,1,0,0,1,1,"","","",5,4,5,NA,NA,NA
"2",100,"No Deliberation","1",NA,NA,1,3,2,2,0,0,1,0,0,0,0,0,0,1,0,0,"","","",5,2,4,NA,NA,NA
"3",102,"No Deliberation","1",NA,NA,1,2,4,4,0,1,1,1,0,0,0,1,1,0,1,1,"","","",5,4,4,NA,NA,2
"4",101,"No Deliberation","1",NA,NA,1,3,3,3,0,1,1,1,1,1,1,1,0,1,1,1,"","","",6,4,4,NA,NA,4
"5",102,"No Deliberation","1",NA,NA,1,1,4,4,0,1,0,1,1,1,1,1,1,0,1,0,"","","",3,3,5,NA,NA,1
"6",103,"No Deliberation","1",NA,NA,2,1,2,2,5,0,1,0,1,1,1,1,0,0,1,0,"","","",5,5,6,NA,NA,4
"7",101,"No Deliberation","1",NA,NA,2,3,3,2,0,1,1,1,1,1,1,1,1,1,1,1,"","","",6,6,6,NA,NA,1
"8",102,"No Deliberation","1",NA,NA,2,2,3,4,0,1,1,1,1,1,1,1,1,1,1,1,"","","",5,4,4,NA,NA,3
"9",102,"No Deliberation","1",NA,NA,2,2,4,4,0,1,0,1,1,1,1,1,1,1,1,0,"","","",4,4,4,NA,NA,4
"10",102,"No Deliberation","1",NA,NA,2,2,4,4,0,1,0,1,1,0,1,1,1,0,1,0,"","","",6,7,6,NA,NA,3
"11",100,"No Deliberation","1",NA,NA,3,0,3,2,0,1,0,1,0,1,1,1,NA,0,1,0,"","","",5,4,4,NA,NA,5
"12",104,"No Deliberation","1",NA,NA,3,1,3,3,2,1,1,1,1,1,1,1,0,0,1,0,"","","",4,4,4,NA,NA,4
"13",103,"No Deliberation","1",NA,NA,3,2,2,4,1,0,1,0,0,1,0,1,0,0,1,0,"","","",5,4,4,NA,NA,2
"14",102,"No Deliberation","1",NA,NA,3,4,3,4,0,1,0,1,1,1,1,1,1,1,1,1,"","","",6,5,5,NA,NA,2
"15",102,"No Deliberation","1",NA,NA,3,4,3,4,0,1,0,1,1,1,1,1,1,1,1,1,"","","",5,4,5,NA,NA,1
"16",100,"No Deliberation","1",NA,NA,3,2,2,2,0,0,0,0,0,0,1,1,1,1,1,0,"","","",6,4,4,NA,NA,4
"17",101,"No Deliberation","1",NA,NA,3,2,3,2,0,1,0,1,1,0,1,0,0,1,0,1,"","","",4,4,4,NA,NA,6
"18",100,"No Deliberation","1",NA,NA,3,3,3,2,0,0,0,1,1,0,NA,1,1,0,1,0,"","","",4,4,6,NA,NA,NA
"19",100,"No Deliberation","1",NA,NA,3,3,2,2,0,0,1,1,0,0,1,0,1,0,0,1,"","","",4,4,4,NA,NA,4
"20",106,"No Deliberation","1",NA,NA,4,2,3,3,2,0,1,0,1,1,0,1,0,0,1,0,"","","",3,3,4,NA,NA,3
"21",104,"No Deliberation","1",NA,NA,4,2,2,2,5,0,1,0,1,1,1,1,0,1,1,0,"","","",6,6,6,NA,NA,2
"22",102,"No Deliberation","1",NA,NA,4,2,3,4,0,1,0,1,1,1,1,1,1,1,1,0,"","","",4,5,6,NA,NA,4
"23",106,"No Deliberation","1",NA,NA,4,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0,"","","",5,4,5,NA,NA,2
"24",104,"No Deliberation","1",NA,NA,4,2,1,0,5,0,1,0,1,1,0,0,0,0,0,0,"","","",4,4,4,NA,NA,4
"25",100,"No Deliberation","1",NA,NA,5,4,2,4,0,1,0,1,1,1,1,1,1,1,1,1,"","","",5,7,5,NA,NA,7
"26",101,"No Deliberation","1",NA,NA,5,3,3,3,0,1,1,1,0,1,1,1,1,0,1,1,"","","",5,5,5,NA,NA,NA
"27",100,"No Deliberation","1",NA,NA,5,0,2,1,0,0,1,1,0,0,0,0,1,0,1,1,"","","",4,5,5,NA,NA,1
"28",103,"No Deliberation","1",NA,NA,5,4,3,3,0,0,0,0,0,1,1,1,1,1,1,1,"","","",5,5,5,NA,NA,3
"29",100,"No Deliberation","1",NA,NA,5,3,2,3,0,1,0,1,1,1,1,1,0,1,1,1,"","","",5,5,5,NA,NA,3
