"","country","cnt_code","year","va","ps","ge","rq","rl","cc","fh"
"1","Aruba","ABW",2016,"1,27","1,28","0,90","1,35","1,29","1,29",""
"2","Andorra","ADO",2016,"1,20","1,40","1,86","0,87","1,56","1,23","1"
"3","Afghanistan","AFG",2016,"-1,09","-2,75","-1,22","-1,33","-1,62","-1,56","6"
"4","Angola","AGO",2016,"-1,17","-0,39","-1,04","-1,00","-1,08","-1,41","6"
"6","Albania","ALB",2016,"0,16","0,26","0,00","0,19","-0,35","-0,40","3"
"8","United Arab Emirates","ARE",2016,"-1,12","0,44","1,41","0,97","0,89","1,28",""
"9","Argentina","ARG",2016,"0,54","0,22","0,18","-0,47","-0,35","-0,31","2"
"10","Armenia","ARM",2016,"-0,62","-0,60","-0,15","0,25","-0,11","-0,57","4,5"
"12","Antigua and Barbuda","ATG",2016,"0,65","1,01","0,27","0,34","0,51","0,69","2"
"13","Australia","AUS",2016,"1,30","0,96","1,58","1,90","1,75","1,77","1"
"14","Austria","AUT",2016,"1,29","0,82","1,51","1,44","1,78","1,54","1"
"15","Azerbaijan","AZE",2016,"-1,60","-0,87","-0,16","-0,28","-0,57","-0,87","6,5"
"16","Burundi","BDI",2016,"-1,51","-2,08","-1,40","-0,83","-1,39","-1,18","6,5"
"17","Belgium","BEL",2016,"1,35","0,48","1,33","1,34","1,40","1,60","1"
"18","Benin","BEN",2016,"0,50","0,05","-0,57","-0,53","-0,65","-0,48","2"
"19","Burkina Faso","BFA",2016,"0,04","-0,95","-0,55","-0,40","-0,45","-0,13","3,5"
"20","Bangladesh","BGD",2016,"-0,56","-1,24","-0,69","-0,80","-0,59","-0,80","4"
"21","Bulgaria","BGR",2016,"0,44","0,03","0,29","0,66","-0,04","-0,16","2"
"22","Bahrain","BHR",2016,"-1,45","-0,86","0,32","0,61","0,46","-0,06","6,5"
"23","Bahamas, The","BHS",2016,"0,94","0,90","0,72","0,26","0,23","1,13","1"
"24","Bosnia and Herzegovina","BIH",2016,"-0,16","-0,38","-0,43","-0,17","-0,29","-0,47","3,5"
"25","Belarus","BLR",2016,"-1,39","0,12","-0,51","-0,94","-0,78","-0,29","6,5"
"26","Belize","BLZ",2016,"0,67","0,06","-0,68","-0,51","-0,86","-0,24","1,5"
"28","Bolivia","BOL",2016,"0,01","-0,21","-0,57","-0,92","-1,20","-0,71","3"
"29","Brazil","BRA",2016,"0,47","-0,45","-0,18","-0,21","-0,08","-0,44","2"
"30","Barbados","BRB",2016,"1,10","0,96","1,08","0,48","0,78","1,24","1"
"31","Brunei Darussalam","BRN",2016,"-0,95","1,26","1,07","0,59","0,62","0,66","5,5"
"32","Bhutan","BTN",2016,"-0,05","0,99","0,49","-0,67","0,47","1,14","3,5"
"33","South Sudan","SSD",2016,"-1,67","-2,42","-2,26","-1,86","-1,69","-1,58","6,5"
"34","Botswana","BWA",2016,"0,42","1,09","0,51","0,53","0,52","0,93","2,5"
"35","Central African Republic","CAF",2016,"-1,13","-1,74","-1,77","-1,43","-1,84","-1,28","7"
