region,district,empl_total,A_agro,B_fish,C_fossil,D_proc,E_energy,F_build,G_merc,H_host,I_trans,J_fin,K_prop,L_gov,M_educ,N_heal,O_comm,popul_total,urban_total,rural_total,wa_total,wa_female,wa_male,ret_total,ret_female,ret_male,young_total,young_female,young_male,18_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_plus
Белгородская область,Алексеевский муниципальный район и город Алексеевка,19027,1824,,,6194,474,242,1634,80,1809,149,817,1245,2390,1554,615,62338,38566,23772,35735,16758,18977,15944,10966,4978,10659,5151,5508,932,3501,5380,4849,4413,4378,4047,4729,4910,3890,3026,6426
Белгородская область,Белгородский муниципальный район,19276,4807,,,2132,1073,591,1828,166,335,,481,1238,3801,1557,931,116297,35900,80397,64714,30848,33866,31827,21714,10113,19756,9621,10135,1709,5856,9295,9654,8848,7895,6952,8356,9776,8890,6874,10602
Белгородская область,Борисовский муниципальный район,6558,1073,,,1584,191,35,323,,239,24,102,485,890,1303,280,25818,13743,12075,14103,6459,7644,7560,5203,2357,4155,1979,2176,385,1273,2016,1899,1743,1717,1670,1994,2164,1859,1478,3050
Белгородская область,Город Валуйки и Валуйский муниципальный район,16222,1150,,,5123,660,,345,50,1580,126,389,1838,2357,1678,885,66655,41039,25616,36651,16715,19936,19342,13215,6127,10662,5069,5593,979,2943,4570,5203,5038,4950,4309,4957,5474,4759,3951,7703
Белгородская область,Вейделевский муниципальный район,4030,1309,,,19,210,35,111,20,,29,174,436,931,520,238,19604,6412,13192,10560,4863,5697,5731,3933,1798,3313,1576,1737,350,668,1055,1189,1191,1474,1536,1845,1823,1397,1149,2229
Белгородская область,Волоконовский муниципальный район,5450,1702,,,413,320,,116,,228,42,144,556,1013,669,237,31130,15189,15941,16747,7924,8823,9319,6539,2780,5064,2532,2532,594,1281,2095,2096,1994,2120,2094,2567,2629,2118,1804,4048
Белгородская область,Грайворонский муниципальный район,5532,1354,,,295,176,,64,,37,31,173,925,1008,1187,189,29740,6506,23234,16372,7507,8865,8351,5855,2496,5017,2360,2657,475,1381,2468,2162,1961,2006,1977,2276,2459,1915,1581,3534
Белгородская область,Ивнянский муниципальный район,4761,1629,,,558,185,,53,,22,27,54,474,881,588,288,22299,7506,14793,12174,5567,6607,6397,4515,1882,3728,1811,1917,393,869,1511,1552,1357,1494,1607,1958,2037,1569,1206,2569
Белгородская область,Корочанский муниципальный район,9547,1568,,,3144,285,393,135,21,404,30,210,688,1300,986,383,39213,5890,33323,20955,9751,11204,12107,8414,3693,6151,2984,3167,632,1946,2894,2579,2414,2637,2622,3084,3197,2879,2278,5257
Белгородская область,Красненский муниципальный район,2395,690,,,,166,,,,,12,138,322,480,385,185,12237,,12237,6418,2907,3511,3914,2733,1181,1905,922,983,229,507,813,697,719,853,888,987,996,691,570,2160
Белгородская область,Красногвардейский муниципальный район,7350,1977,,,801,221,308,90,29,,50,391,609,1441,1001,313,37527,7248,30279,20699,9477,11222,11137,7754,3383,5691,2811,2880,601,2054,2608,2451,2318,2568,2750,3065,3268,2380,1954,5193
Белгородская область,Краснояружский муниципальный район,4334,2003,,,351,122,,59,,,17,76,382,643,362,225,14740,8099,6641,8045,3732,4313,3846,2705,1141,2849,1331,1518,264,665,1032,1014,971,1083,1034,1138,1149,882,696,1663
Белгородская область,Новооскольский муниципальный район,13647,3598,,,3938,509,193,276,95,750,93,352,870,1545,1031,397,42001,18932,23069,22707,10543,12164,12514,8782,3732,6780,3334,3446,757,2195,2927,2867,2888,2802,2572,3266,3674,2964,2338,5240
Белгородская область,Прохоровский муниципальный район,6127,1857,,,663,249,,270,75,310,36,203,550,847,640,417,27314,9052,18262,14787,6759,8028,8123,5719,2404,4404,2135,2269,475,1271,2067,1830,1727,1685,1890,2213,2285,1753,1351,3862
Белгородская область,Ракитянский муниципальный район,8869,1890,,,2376,189,,151,76,455,85,654,642,1065,676,437,34930,19558,15372,19106,8984,10122,9526,6735,2791,6298,3076,3222,575,1598,2598,2544,2329,2384,2233,2751,2871,2466,1693,3864
Белгородская область,Ровеньский муниципальный район,5142,1723,,,395,190,173,36,26,,30,187,499,948,661,272,23828,10795,13033,13274,6202,7072,6235,4283,1952,4319,2056,2263,439,1208,1709,1730,1636,1668,1635,1853,1956,1535,1192,2473
Белгородская область,Чернянский муниципальный район,5997,1520,,,611,272,,123,17,,47,70,653,1324,771,461,31488,14931,16557,17533,8256,9277,8478,5943,2535,5477,2652,2825,538,1449,2262,2401,2226,2209,2183,2498,2624,2023,1577,3450
